index_date;fuel_sector_credit_operations_(R$ million)
2012-01;54768
2012-02;54716
2012-03;55911
2012-04;57270
2012-05;58842
2012-06;59194
2012-07;63151
2012-08;63201
2012-09;63531
2012-10;64696
2012-11;65405
2012-12;65425
2013-01;65215
2013-02;65360
2013-03;66588
2013-04;70948
2013-05;68626
2013-06;72521
2013-07;73837
2013-08;74094
2013-09;68479
2013-10;67524
2013-11;68246
2013-12;71838
2014-01;74512
2014-02;75167
2014-03;75181
2014-04;75377
2014-05;74994
2014-06;75144
2014-07;76096
2014-08;75775
2014-09;77207
2014-10;77323
2014-11;77815
2014-12;77425
2015-01;77872
2015-02;79265
2015-03;80517
2015-04;81189
2015-05;81114
2015-06;80572
2015-07;82994
2015-08;85595
2015-09;90619
2015-10;90069
2015-11;89428
2015-12;90181
2016-01;90932
2016-02;90668
2016-03;88071
2016-04;87292
2016-05;86468
2016-06;83227
2016-07;83786
2016-08;83917
2016-09;82599
2016-10;81079
2016-11;80590
2016-12;69569
2017-01;67903
2017-02;67264
2017-03;67300
2017-04;65740
2017-05;64805
2017-06;62328
2017-07;62033
2017-08;67555
2017-09;66259
2017-10;66128
2017-11;65156
2017-12;59072
2018-01;58885
2018-02;57902
2018-03;56863
2018-04;56604
2018-05;56680
2018-06;56434
2018-07;57088
2018-08;56406
2018-09;56224
2018-10;54155
2018-11;53663
2018-12;53784
2019-01;53643
2019-02;48656
2019-03;40944
2019-04;40972
2019-05;40549
2019-06;32368
2019-07;32828
2019-08;32262
2019-09;32392
2019-10;32291
2019-11;32562
2019-12;33874
2020-01;33809
2020-02;33290
2020-03;39857
2020-04;40615
2020-05;41297
2020-06;41213
2020-07;41419
2020-08;41554
2020-09;42190
2020-10;42540
2020-11;45227
2020-12;44305
2021-01;43433
2021-02;43162
2021-03;39154
2021-04;39408
2021-05;39239
2021-06;28163
2021-07;28010
2021-08;28366
2021-09;24870
