index_date,fuel_sector_credit_operations_(R$ million)
2012-02-01,-52.0
2012-03-01,1195.0
2012-04-01,1359.0
2012-05-01,1572.0
2012-06-01,352.0
2012-07-01,3957.0
2012-08-01,50.0
2012-09-01,330.0
2012-10-01,1165.0
2012-11-01,709.0
2012-12-01,20.0
2013-01-01,-210.0
2013-02-01,145.0
2013-03-01,1228.0
2013-04-01,4360.0
2013-05-01,-2322.0
2013-06-01,3895.0
2013-07-01,1316.0
2013-08-01,257.0
2013-09-01,-5615.0
2013-10-01,-955.0
2013-11-01,722.0
2013-12-01,3592.0
2014-01-01,2674.0
2014-02-01,655.0
2014-03-01,14.0
2014-04-01,196.0
2014-05-01,-383.0
2014-06-01,150.0
2014-07-01,952.0
2014-08-01,-321.0
2014-09-01,1432.0
2014-10-01,116.0
2014-11-01,492.0
2014-12-01,-390.0
2015-01-01,447.0
2015-02-01,1393.0
2015-03-01,1252.0
2015-04-01,672.0
2015-05-01,-75.0
2015-06-01,-542.0
2015-07-01,2422.0
2015-08-01,2601.0
2015-09-01,5024.0
2015-10-01,-550.0
2015-11-01,-641.0
2015-12-01,753.0
2016-01-01,751.0
2016-02-01,-264.0
2016-03-01,-2597.0
2016-04-01,-779.0
2016-05-01,-824.0
2016-06-01,-3241.0
2016-07-01,559.0
2016-08-01,131.0
2016-09-01,-1318.0
2016-10-01,-1520.0
2016-11-01,-489.0
2016-12-01,-11021.0
2017-01-01,-1666.0
2017-02-01,-639.0
2017-03-01,36.0
2017-04-01,-1560.0
2017-05-01,-935.0
2017-06-01,-2477.0
2017-07-01,-295.0
2017-08-01,5522.0
2017-09-01,-1296.0
2017-10-01,-131.0
2017-11-01,-972.0
2017-12-01,-6084.0
2018-01-01,-187.0
2018-02-01,-983.0
2018-03-01,-1039.0
2018-04-01,-259.0
2018-05-01,76.0
2018-06-01,-246.0
2018-07-01,654.0
2018-08-01,-682.0
2018-09-01,-182.0
2018-10-01,-2069.0
2018-11-01,-492.0
2018-12-01,121.0
2019-01-01,-141.0
2019-02-01,-4987.0
2019-03-01,-7712.0
2019-04-01,28.0
2019-05-01,-423.0
2019-06-01,-8181.0
2019-07-01,460.0
2019-08-01,-566.0
2019-09-01,130.0
2019-10-01,-101.0
2019-11-01,271.0
2019-12-01,1312.0
2020-01-01,-65.0
2020-02-01,-519.0
2020-03-01,6567.0
2020-04-01,758.0
2020-05-01,682.0
2020-06-01,-84.0
2020-07-01,206.0
2020-08-01,135.0
2020-09-01,636.0
2020-10-01,350.0
2020-11-01,2687.0
2020-12-01,-922.0
2021-01-01,-872.0
2021-02-01,-271.0
2021-03-01,-4008.0
2021-04-01,254.0
2021-05-01,-169.0
2021-06-01,-11076.0
2021-07-01,-153.0
2021-08-01,356.0
2021-09-01,-3496.0
